datasheet_id,stratagem_id
1,8335004
1,9992007
1,9616004
1,9624003
1,9218003
1,8335008
1,8335003
1,8366006
1,9992005
1,8366005
1,9616002
1,8366003
1,8366004
1,9624004
1,9992003
1,9796003
1,8335009
1,9624002
1,8335006
1,8335010
1,9992006
1,9796002
1,9218002
1,9218006
1,9218004
1,8366007
1,8335002
1,9218005
1,9796004
1,8335005
1,9992002
1,9796006
1,9624005
1,8335012
2,8366004
2,9218006
2,8335009
2,9218005
2,9796002
2,9218004
2,9796004
2,9218003
2,9796003
2,9218002
2,8335004
2,9992005
2,9796006
2,9624004
2,9992002
2,9992003
2,8335003
2,8335010
2,8335002
2,9624005
2,9624003
2,9616002
2,8335005
2,8366007
2,8366003
2,8366005
2,9624002
2,8366006
2,9992006
2,8335008
2,8335012
2,9616004
2,9992007
3,8366005
3,9796006
3,8873004
3,8366004
3,8873006
3,9992002
3,8366003
3,8873002
3,8335005
3,8335012
3,9796002
3,8335003
3,8873007
3,9218006
3,9218005
3,8873003
3,8335004
3,9992006
3,9796004
3,8335002
3,8335008
3,9218004
3,8335006
3,9218003
3,9218002
3,9992007
3,8335009
3,9992005
3,9796003
3,9992003
3,8873005
4,9218006
4,9992002
4,8335005
4,8335002
4,9992003
4,9992007
4,8366006
4,8366004
4,8335008
4,9992006
4,9796003
4,8366003
4,9616002
4,8335010
4,9992005
4,9796004
4,8335003
4,9796006
4,9796002
4,9616004
4,8335012
4,8366005
4,9218002
4,8335004
4,9218003
4,8335009
4,9218004
4,9218005
4,8366007
6,8366006
6,8335002
6,8335003
6,9992006
6,9992003
6,9624005
6,8335005
6,9616002
6,9992005
6,8335010
6,9796002
6,8335008
6,8366005
6,8335009
6,9616004
6,9992007
6,9796006
6,9796004
6,8366003
6,9218006
6,9992002
6,9624002
6,9218005
6,9218004
6,9218003
6,9218002
6,8878004
6,8335012
6,8335004
6,8366004
6,9624003
6,8366007
6,9796003
7,9218002
7,9992005
7,8335002
7,9796006
7,8335012
7,8873003
7,8873002
7,8873007
7,9796004
7,8335003
7,8335006
7,9992003
7,9218006
7,8366003
7,9218005
7,8335004
7,9218004
7,8873004
7,8873006
7,8335008
7,9218003
7,8335009
7,9992007
7,9796003
7,8366005
7,8366004
7,8873005
7,9616004
7,9796002
7,9616002
7,8335005
7,9992002
7,9992006
8,8366004
8,8335008
8,9624002
8,9796006
8,9992007
8,8335012
8,8335005
8,9992006
8,9616002
8,9624004
8,8335003
8,9624003
8,9218006
8,9796004
8,9992002
8,8335004
8,8366005
8,9624005
8,9218005
8,8366003
8,8366007
8,9218004
8,9218003
8,9616004
8,8335002
8,8335010
8,9796002
8,9992003
8,9218002
8,9992005
8,9796003
8,8335009
8,8366006
9,9796002
9,9992002
9,9796006
9,8335005
9,9992006
9,9796003
9,8335002
9,8335004
9,9992005
9,8366007
9,8366005
9,9992007
9,8366006
9,9218005
9,8366004
9,8335012
9,9218006
9,9218002
9,9796004
9,8335008
9,8335010
9,8335003
9,9992003
9,9218004
9,9218003
9,8335009
9,8366003
10,9796003
10,9218005
10,8366007
10,8335005
