datasheet_id,enhancement_id
1,8885003
1,9991003
1,9991005
1,8872002
1,8367004
1,9615002
1,8367005
1,9795004
1,8885002
1,8881005
1,8881003
1,8881002
1,9795005
1,8885004
1,9795002
1,9615003
1,9991002
1,8367002
1,9991004
1,8881004
1,8367003
1,9623003
1,8872003
2,8881003
2,9795005
2,9991004
2,8367004
2,8367003
2,9991002
2,8885005
2,8367002
2,8885004
2,9991003
2,8885002
2,9615003
2,9795002
2,8881004
2,9623003
2,8872003
2,8881005
2,9615002
2,8881002
2,9991005
2,8885003
2,9795004
2,8872002
2,8367005
3,8367003
3,9991002
3,9991003
3,9991005
3,9991004
3,9795004
3,8367002
3,8872003
3,8367004
3,8367005
3,9795005
4,8872003
4,8881005
4,8881004
4,9615002
4,8367003
4,9615003
4,9991003
4,9795004
4,8881002
4,8367002
4,9991005
4,9991004
4,8872002
4,8881003
4,8367004
4,9991002
4,8367005
6,8877004
6,8881004
6,8872003
6,9795005
6,8877005
6,9615002
6,8881003
6,9615003
6,9991005
6,8367005
6,8881005
6,8367002
6,9991002
6,8877002
6,8881002
6,9795003
6,8877003
6,9991003
6,8367004
6,9795004
6,8367003
6,9991004
6,8872002
7,8367002
7,9615003
7,9991003
7,8367003
7,8367005
7,9991002
7,9615002
7,8872003
7,9795003
7,9991005
7,8367004
7,9795004
7,9991004
12,8367003
12,8881002
12,8367002
12,8872003
12,8367005
12,9991003
12,9991004
12,8877004
12,9795004
12,8881003
12,9795005
12,9615003
12,9615002
12,9991005
12,8881004
12,8872002
12,8367004
12,8877003
12,8877002
12,8877005
12,8881005
12,9991002
13,8881002
13,8367005
13,9991005
13,8367002
13,8367003
13,8872003
13,9991004
13,9991003
13,8881003
13,9615002
13,9991002
13,9615003
13,8881004
13,8881005
13,8872002
13,8367004
13,9795004
14,9991005
14,8367002
14,9991003
14,9795004
14,8872003
14,9991004
14,8367004
14,8367005
14,9991002
14,8367003
22,8367005
22,9991005
22,8881005
22,8881004
22,9795004
22,9991003
22,9991004
22,8367002
22,8872003
22,8881003
22,8872002
22,8367004
22,8367003
22,9991002
22,8881002
24,9623002
60,8376005
60,10396004
60,9835004
60,9835005
60,8494003
60,8771004
60,8478003
60,8376003
60,8482004
60,9240003
60,8771003
60,8522004
60,10261003
60,10265003
60,10269003
60,10396003
60,10368005
60,8474004
60,10400005
60,10368004
60,10400003
60,8353002
60,8376002
60,8486004
60,8474002
60,8482003
60,8490002
60,9851005
60,8478005
60,8490003
60,10155003
60,8474005
60,8494002
60,8522002
60,9733002
60,9835002
60,9843003
60,8376004
60,9851002
60,10155002
60,10466002
60,9835003
60,10466004
60,10466005
60,10460002
60,8353005
60,9240002
60,8771002
60,10392003
60,8482005
60,10400004
60,10400002
60,10368002
60,10261005
60,10265005
60,10269005
60,10392005
60,10368003
60,8353003
60,8486003
61,9733002
63,9851005
63,9843003
63,10265005
63,9835002
63,9835003
63,10396003
63,10155003
63,10368002
63,8494002
63,8771002
63,8376002
63,8771004
63,9835005
63,8778003
63,8376005
63,8474005
63,8486003
63,8778005
63,8771003
63,8482005
63,8376003
63,10400003
63,8778004
63,10400004
63,8353003
63,8482004
63,8376004
63,8486005
63,10400005
63,9733002
63,8778002
63,8522004
63,10392005
63,10460002
63,10466005
63,9733003
63,10466004
63,8486004
63,10269003
63,8522002
63,10155005
63,10265003
63,8494003
63,10261003
63,10269005
63,8478003
63,8490003
63,8353002
63,10261005
63,10368005
63,10396004
63,10400002
63,8353005
63,8486002
63,8478005
63,10368004
63,10155002
63,8474004
64,9733002
65,9733005
65,9733002
66,9733002
66,9733005
67,9733002
68,9733002
70,9733002
71,9733005
71,9733002
72,9733002
72,9733003
73,10392005
73,8474005
73,8494002
73,10400004
73,10400003
73,8376005
73,8490002
73,8478003
73,9240003
73,9851005
73,9835003
73,10466002
73,8478005
73,10400005
73,8482004
73,8376003
73,9733004
73,10265003
73,8522005
73,9835004
73,10155003
73,10368005
73,10269003
73,8482002
73,10269005
73,10396004
73,10460002
73,8771004
73,8482005
73,9843003
73,10466005
73,9733002
73,8482003
73,8376002
73,10261003
73,10368002
73,9851002
73,8486004
73,10396003
73,8494003
73,8771002
73,10392003
73,8376004
73,8490003
73,8522004
73,8353003
73,8474004
73,8353002
73,8522002
73,9240002
73,10368004
73,9835005
73,10466004
73,8353004
73,10155002
73,10265005
73,8353005
73,10368003
73,10261005
73,8771003
73,10400002
73,8474003
73,8486003
73,9835002
76,8482005
76,10400002
76,10392005
76,10400004
76,9843003
76,8353003
76,10155003
76,8522004
76,10368002
76,8494003
76,10466003
76,8376005
76,10466002
76,10396004
76,10466004
76,8474005
76,10368005
76,8353005
76,10466005
76,8486004
76,10460002
76,10155002
