datasheet_id,keyword,model,is_faction_keyword
1,Orks,,TRUE
1,Infantry,,FALSE
1,Character,,FALSE
1,Grenades,,FALSE
1,Warboss,,FALSE
2,Orks,,TRUE
2,Mega Armour,,FALSE
2,Warboss in Mega Armour,,FALSE
2,Warboss,,FALSE
2,Character,,FALSE
2,Infantry,,FALSE
3,Orks,,TRUE
3,Warboss,,FALSE
3,Grenades,,FALSE
3,Speed Freeks,,FALSE
3,Character,,FALSE
3,Mounted,,FALSE
4,Orks,,TRUE
4,Weirdboy,,FALSE
4,Psyker,,FALSE
4,Character,,FALSE
4,Infantry,,FALSE
6,Orks,,TRUE
6,Character,,FALSE
6,Infantry,,FALSE
6,Mega Armour,,FALSE
6,Mek,,FALSE
6,Big Mek in Mega Armour,,FALSE
7,Orks,,TRUE
7,Speed Freeks,,FALSE
7,Big Mek,,FALSE
7,Big Mek on Warbike,,FALSE
7,Mounted,,FALSE
7,Character,,FALSE
7,Grenades,,FALSE
8,Orks,,TRUE
8,Character,ALL MODELS,FALSE
8,Infantry,ALL MODELS,FALSE
8,Epic Hero,ALL MODELS,FALSE
8,Warboss,GHAZGHKULL THRAKA,FALSE
8,Ghazghkull Thraka,GHAZGHKULL THRAKA,FALSE
9,Orks,,TRUE
9,Infantry,,FALSE
9,Character,,FALSE
9,Epic Hero,,FALSE
9,Kaptin Badrukk,,FALSE
10,Orks,,TRUE
10,Epic Hero,,FALSE
10,Character,,FALSE
10,Boss Zagstruk,,FALSE
10,Infantry,,FALSE
10,Jump Pack,,FALSE
10,Fly,,FALSE
11,Orks,,TRUE
11,Boss Snikrot,,FALSE
11,Epic Hero,,FALSE
11,Smoke,,FALSE
11,Grenades,,FALSE
11,Character,,FALSE
11,Infantry,,FALSE
12,Orks,,TRUE
12,Character,,FALSE
12,Infantry,,FALSE
12,Mek,,FALSE
13,Orks,,TRUE
13,Painboy,,FALSE
13,Infantry,,FALSE
13,Character,,FALSE
14,Orks,,TRUE
14,Character,,FALSE
14,Painboy on Warbike,,FALSE
14,Mounted,,FALSE
14,Speed Freeks,,FALSE
15,Orks,,TRUE
15,Character,,FALSE
15,Epic Hero,,FALSE
15,Painboy,,FALSE
15,Mad Dok Grotsnik,,FALSE
15,Infantry,,FALSE
16,Orks,,TRUE
16,Battleline,,FALSE
16,Infantry,,FALSE
16,Boyz,,FALSE
16,Grenades,,FALSE
16,Mob,,FALSE
17,Orks,,TRUE
17,Grots,,FALSE
17,Gretchin,,FALSE
17,Infantry,,FALSE
19,Orks,,TRUE
19,Infantry,,FALSE
19,Burna Boyz,,FALSE
20,Orks,,TRUE
20,Infantry,,FALSE
20,Grenades,,FALSE
20,Tankbustas,,FALSE
21,Orks,,TRUE
21,Nobz,,FALSE
21,Grenades,,FALSE
21,Infantry,,FALSE
22,Orks,,TRUE
22,Nob with Waaagh! Banner,,FALSE
22,Infantry,,FALSE
22,Character,,FALSE
23,Orks,,TRUE
23,Mounted,,FALSE
23,Nobz on Warbikes,,FALSE
23,Grenades,,FALSE
23,Speed Freeks,,FALSE
24,Orks,,TRUE
24,Infantry,,FALSE
24,Grenades,,FALSE
24,Meganobz,,FALSE
24,Mega Armour,,FALSE
25,Orks,,TRUE
25,Grenades,,FALSE
25,Infantry,,FALSE
25,Smoke,,FALSE
25,Kommandos,,FALSE
26,Orks,,TRUE
26,Vehicle,,FALSE
26,Transport,,FALSE
26,Trukk,,FALSE
26,Dedicated Transport,,FALSE
27,Orks,,TRUE
27,Stormboyz,,FALSE
27,Grenades,,FALSE
27,Fly,,FALSE
27,Jump Pack,,FALSE
27,Infantry,,FALSE
28,Orks,,TRUE
28,Vehicle,,FALSE
28,Fly,,FALSE
28,Grenades,,FALSE
28,Speed Freeks,,FALSE
28,Deffkoptas,,FALSE
29,Orks,,TRUE
29,Aircraft,,FALSE
29,Fly,,FALSE
29,Vehicle,,FALSE
29,Dakkajet,,FALSE
29,Speed Freeks,,FALSE
30,Orks,,TRUE
30,Speed Freeks,,FALSE
30,Fly,,FALSE
30,Vehicle,,FALSE
30,Aircraft,,FALSE
30,Burna-bommer,,FALSE
31,Orks,,TRUE
31,Blitza-bommer,,FALSE
31,Speed Freeks,,FALSE
31,Fly,,FALSE
31,Aircraft,,FALSE
31,Vehicle,,FALSE
32,Orks,,TRUE
32,Aircraft,,FALSE
32,Wazbom Blastajet,,FALSE
32,Speed Freeks,,FALSE
32,Fly,,FALSE
32,Vehicle,,FALSE
32,Grenades,,FALSE
33,Orks,,TRUE
33,Warbikers,,FALSE
33,Speed Freeks,,FALSE
33,Mounted,,FALSE
33,Grenades,,FALSE
34,Orks,,TRUE
34,Wartrakks,,FALSE
34,Speed Freeks,,FALSE
34,Mounted,,FALSE
35,Orks,,TRUE
35,Skorchas,,FALSE
35,Speed Freeks,,FALSE
35,Mounted,,FALSE
36,Orks,,TRUE
36,Warbuggies,,FALSE
36,Speed Freeks,,FALSE
36,Mounted,,FALSE
37,Orks,,TRUE
37,Big Gunz,,FALSE
37,Grots,,FALSE
37,Artillery,,FALSE
37,Vehicle,,FALSE
38,Orks,,TRUE
38,Mek Gunz,,FALSE
38,Grots,,FALSE
38,Vehicle,,FALSE
39,Orks,,TRUE
39,Vehicle,,FALSE
39,Transport,,FALSE
39,Battlewagon,,FALSE
40,Orks,,TRUE
40,Vehicle,,FALSE
40,Walker,,FALSE
40,Deff Dread,,FALSE
41,Orks,,TRUE
41,Vehicle,,FALSE
41,Walker,,FALSE
41,Grots,,FALSE
41,Killa Kans,,FALSE
42,Orks,,TRUE
42,Titanic,,FALSE
42,Towering,,FALSE
42,Transport,,FALSE
42,Walker,,FALSE
42,Morkanaut,,FALSE
42,Vehicle,,FALSE
43,Orks,,TRUE
43,Gorkanaut,,FALSE
43,Vehicle,,FALSE
43,Titanic,,FALSE
43,Towering,,FALSE
43,Transport,,FALSE
43,Walker,,FALSE
44,Orks,,TRUE
44,Infantry,,FALSE
44,Lootas,,FALSE
45,Orks,,TRUE
45,Grenades,,FALSE
45,Flash Gitz,,FALSE
45,Infantry,,FALSE
46,Orks,,TRUE
46,Transport,,FALSE
46,Vehicle,,FALSE
46,Stompa,,FALSE
46,Walker,,FALSE
46,Towering,,FALSE
46,Titanic,,FALSE
49,Orks,,TRUE
49,Vehicle,,FALSE
49,Grots,,FALSE
49,Grot Tanks,,FALSE
50,Orks,,TRUE
50,Grots,,FALSE
50,Grot Mega-tank,,FALSE
50,Vehicle,,FALSE
51,Orks,,TRUE
51,Transport,,FALSE
51,Monster,,FALSE
51,Squiggoth,,FALSE
52,Orks,,TRUE
52,Vehicle,,FALSE
52,Walker,,FALSE
52,Meka-Dread,,FALSE
53,Orks,,TRUE
53,Vehicle,,FALSE
53,Lifta Wagon,,FALSE
54,Orks,,TRUE
54,Vehicle,,FALSE
54,Transport,,FALSE
54,Big Trakk,,FALSE
55,Orks,,TRUE
55,Transport,,FALSE
55,Vehicle,,FALSE
55,Kannonwagon,,FALSE
56,Orks,,TRUE
56,Vehicle,,FALSE
56,Titanic,,FALSE
56,Transport,,FALSE
56,Kill Tank,,FALSE
57,Orks,,TRUE
57,Chinork Warkopta,,FALSE
57,Transport,,FALSE
57,Vehicle,,FALSE
57,Fly,,FALSE
57,Speed Freeks,,FALSE
59,Orks,,TRUE
59,Monster,,FALSE
59,Titanic,,FALSE
59,Gargantuan Squiggoth,,FALSE
59,Transport,,FALSE
59,Towering,,FALSE
60,Adeptus Astartes,,TRUE
60,Biologis,,FALSE
60,Apothecary,,FALSE
60,Gravis,,FALSE
60,Imperium,,FALSE
60,Character,,FALSE
60,Infantry,,FALSE
61,Adeptus Astartes,,TRUE
61,Assault Squad,,FALSE
61,Grenades,,FALSE
61,Imperium,,FALSE
61,Infantry,,FALSE
63,Adeptus Astartes,,TRUE
63,Ravenwing,,FALSE
63,Imperium,,FALSE
63,Grenades,,FALSE
63,Character,,FALSE
63,Mounted,,FALSE
63,Apothecary,,FALSE
64,Adeptus Astartes,,TRUE
64,Fly,,FALSE
